loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,17.172501587585845
county,wk ahead inc case,2020-07-12,15.49265575794788
county,wk ahead inc case,2020-07-19,16.330525025299043
county,wk ahead inc case,2020-07-26,16.151357158207123
county,wk ahead inc case,2020-08-03,17.08278537004821
county,wk ahead inc case,2020-08-09,15.055428074544048
county,wk ahead inc case,2020-08-16,15.6121821991404
county,wk ahead inc case,2020-08-23,13.677012261791058
county,wk ahead inc case,2020-08-30,13.72468433420885
county,wk ahead inc case,2020-09-06,13.406719985104834
county,wk ahead inc case,2020-09-13,13.901410754081958
county,wk ahead inc case,2020-09-20,14.738375266350571
county,wk ahead inc case,2020-09-27,17.294117875903943
county,wk ahead inc case,2020-10-04,20.942998970414337
county,wk ahead inc case,2020-10-11,30.949052788579614
county,wk ahead inc case,2020-10-18,43.70793675183063
county,wk ahead inc case,2020-10-25,58.4252875
county,wk ahead inc case,2020-11-01,65.09999605931914
county,wk ahead inc case,2020-11-09,60.21740816931596
county,wk ahead inc case,2020-11-16,55.157186173932324
county,wk ahead inc case,2020-11-23,57.18723245298358
county,wk ahead inc case,2020-11-30,61.43740929355983
county,wk ahead inc case,2020-12-07,51.69275027715241
county,wk ahead inc case,2020-12-14,43.45507879201346
county,wk ahead inc case,2020-12-21,36.259075323770865
county,wk ahead inc case,2020-12-28,39.444684304361665
county,wk ahead inc case,2021-01-04,36.99787369638878
county,wk ahead inc case,2021-01-11,52.15921033792696
county,wk ahead inc case,2021-01-18,53.95893914889101
county,wk ahead inc case,2021-01-25,32.359368159594304
county,wk ahead inc case,2021-02-01,27.79640608768818
national,wk ahead cum death,2020-07-05,1755.6356798913048
national,wk ahead cum death,2020-07-12,989.1387007608691
national,wk ahead cum death,2020-07-19,1565.5308326630432
national,wk ahead cum death,2020-07-26,1087.8666085869563
national,wk ahead cum death,2020-08-03,366.21222619565197
national,wk ahead cum death,2020-08-09,403.553010706522
national,wk ahead cum death,2020-08-16,505.3020301086953
national,wk ahead cum death,2020-08-23,638.8140182608689
national,wk ahead cum death,2020-08-30,697.8121376086967
national,wk ahead cum death,2020-09-06,334.2640749456527
national,wk ahead cum death,2020-09-13,252.7136291847825
national,wk ahead cum death,2020-09-20,295.53879222826106
national,wk ahead cum death,2020-09-27,163.87321233695613
national,wk ahead cum death,2020-10-04,458.42518711956546
national,wk ahead cum death,2020-10-11,579.055272445652
national,wk ahead cum death,2020-10-18,1612.8254399999998
national,wk ahead cum death,2020-10-25,1662.9792625000005
national,wk ahead cum death,2020-11-01,3151.756473532609
national,wk ahead cum death,2020-11-09,4045.917482173914
national,wk ahead cum death,2020-11-16,5051.109622934781
national,wk ahead cum death,2020-11-23,3106.135057663045
national,wk ahead cum death,2020-11-30,6003.329988641307
national,wk ahead cum death,2020-12-07,1459.7880350543485
national,wk ahead cum death,2020-12-14,1058.3594740760861
national,wk ahead cum death,2020-12-21,958.1865783695661
national,wk ahead cum death,2020-12-28,3535.678718260872
national,wk ahead cum death,2021-01-04,3284.815390217392
national,wk ahead cum death,2021-01-11,904.3417109239127
national,wk ahead cum death,2021-01-18,737.6205573913037
national,wk ahead cum death,2021-01-25,581.0099988043477
national,wk ahead cum death,2021-02-01,336.1705347826086
national,wk ahead inc case,2020-07-05,34048.01325089286
national,wk ahead inc case,2020-07-12,12976.93689107143
national,wk ahead inc case,2020-07-19,23630.722482142857
national,wk ahead inc case,2020-07-26,24673.432705357143
national,wk ahead inc case,2020-08-03,24254.205505357142
national,wk ahead inc case,2020-08-09,13546.741599107145
national,wk ahead inc case,2020-08-16,21978.98924285714
national,wk ahead inc case,2020-08-23,7138.160000000001
national,wk ahead inc case,2020-08-30,6828.666570535715
national,wk ahead inc case,2020-09-06,6972.684741964286
national,wk ahead inc case,2020-09-13,22795.358311607146
national,wk ahead inc case,2020-09-20,13779.424720535715
national,wk ahead inc case,2020-09-27,16474.61613125
national,wk ahead inc case,2020-10-04,40819.15550357143
national,wk ahead inc case,2020-10-11,99587.41645446428
national,wk ahead inc case,2020-10-18,147850.9465294643
national,wk ahead inc case,2020-10-25,189570.1515830357
national,wk ahead inc case,2020-11-01,234318.2911794643
national,wk ahead inc case,2020-11-09,189816.63056785715
national,wk ahead inc case,2020-11-16,81377.3927892857
national,wk ahead inc case,2020-11-23,60446.993011607134
national,wk ahead inc case,2020-11-30,71522.93646339285
national,wk ahead inc case,2020-12-07,32158.77031071428
national,wk ahead inc case,2020-12-14,30100.70167321428
national,wk ahead inc case,2020-12-21,34061.58630089286
national,wk ahead inc case,2020-12-28,52333.39016517857
national,wk ahead inc case,2021-01-04,58241.54696517857
national,wk ahead inc case,2021-01-11,141774.56879642856
national,wk ahead inc case,2021-01-18,122299.01245357143
national,wk ahead inc case,2021-01-25,63319.25849285714
national,wk ahead inc case,2021-02-01,52902.86378571428
national,wk ahead inc death,2020-07-05,755.4221000543479
national,wk ahead inc death,2020-07-12,457.59592125
national,wk ahead inc death,2020-07-19,548.1842331521739
national,wk ahead inc death,2020-07-26,374.2956113586957
national,wk ahead inc death,2020-08-03,256.96636717391306
national,wk ahead inc death,2020-08-09,222.24519614130438
national,wk ahead inc death,2020-08-16,302.816221576087
national,wk ahead inc death,2020-08-23,337.1649844565217
national,wk ahead inc death,2020-08-30,335.3306064673913
national,wk ahead inc death,2020-09-06,215.7520670652174
national,wk ahead inc death,2020-09-13,83.08876614130435
national,wk ahead inc death,2020-09-20,163.7797310326087
national,wk ahead inc death,2020-09-27,103.73827364130435
national,wk ahead inc death,2020-10-04,184.1467520108696
national,wk ahead inc death,2020-10-11,277.11513961956524
national,wk ahead inc death,2020-10-18,662.5557741304348
national,wk ahead inc death,2020-10-25,844.0340692934782
national,wk ahead inc death,2020-11-01,1347.5709424456522
national,wk ahead inc death,2020-11-09,1873.5663086413044
national,wk ahead inc death,2020-11-16,2489.807754673913
national,wk ahead inc death,2020-11-23,1761.2481921739131
national,wk ahead inc death,2020-11-30,2249.529473097826
national,wk ahead inc death,2020-12-07,660.833060978261
national,wk ahead inc death,2020-12-14,671.4991210326087
national,wk ahead inc death,2020-12-21,841.7720465217392
national,wk ahead inc death,2020-12-28,1566.3478420108695
national,wk ahead inc death,2021-01-04,1172.9649488586958
national,wk ahead inc death,2021-01-11,446.1121902717392
national,wk ahead inc death,2021-01-18,445.50951543478266
national,wk ahead inc death,2021-01-25,424.2785640217391
national,wk ahead inc death,2021-02-01,336.17053478260857
state,wk ahead cum death,2020-07-05,63.13663923621895
state,wk ahead cum death,2020-07-12,55.97324516013199
state,wk ahead cum death,2020-07-19,54.019810296972054
state,wk ahead cum death,2020-07-26,43.35985470982143
state,wk ahead cum death,2020-08-03,20.152676636257766
state,wk ahead cum death,2020-08-09,17.395489125582298
state,wk ahead cum death,2020-08-16,23.140555713315216
state,wk ahead cum death,2020-08-23,21.21997612189441
state,wk ahead cum death,2020-08-30,21.55987337150621
state,wk ahead cum death,2020-09-06,18.644116265527952
state,wk ahead cum death,2020-09-13,19.254940201863356
state,wk ahead cum death,2020-09-20,20.918217929930126
state,wk ahead cum death,2020-09-27,22.322363848990687
state,wk ahead cum death,2020-10-04,20.99238680997671
state,wk ahead cum death,2020-10-11,23.490855345496897
state,wk ahead cum death,2020-10-18,38.864096641110244
state,wk ahead cum death,2020-10-25,39.15242495535715
state,wk ahead cum death,2020-11-01,54.21656591032609
state,wk ahead cum death,2020-11-09,62.9725690615295
state,wk ahead cum death,2020-11-16,78.55796745535714
state,wk ahead cum death,2020-11-23,65.05518660908385
state,wk ahead cum death,2020-11-30,105.95845971273292
state,wk ahead cum death,2020-12-07,59.20852161587734
state,wk ahead cum death,2020-12-14,64.32968086083075
state,wk ahead cum death,2020-12-21,55.18580962829969
state,wk ahead cum death,2020-12-28,89.22373826086957
state,wk ahead cum death,2021-01-04,96.78801978357919
state,wk ahead cum death,2021-01-11,69.31485332395187
state,wk ahead cum death,2021-01-18,43.95780949275363
state,wk ahead cum death,2021-01-25,33.486762760093164
state,wk ahead cum death,2021-02-01,33.17847246506211
state,wk ahead inc case,2020-07-05,701.6591102200256
state,wk ahead inc case,2020-07-12,475.4092712372449
state,wk ahead inc case,2020-07-19,610.7519109693877
state,wk ahead inc case,2020-07-26,536.6564524075255
state,wk ahead inc case,2020-08-03,589.319818096301
state,wk ahead inc case,2020-08-09,471.72137989477045
state,wk ahead inc case,2020-08-16,592.9220327806122
state,wk ahead inc case,2020-08-23,416.3301689732143
state,wk ahead inc case,2020-08-30,401.3108834183674
state,wk ahead inc case,2020-09-06,423.4134585778061
state,wk ahead inc case,2020-09-13,544.6286986607142
state,wk ahead inc case,2020-09-20,496.59744166135204
state,wk ahead inc case,2020-09-27,650.5079759885205
state,wk ahead inc case,2020-10-04,945.7840075095663
state,wk ahead inc case,2020-10-11,1610.5841205197705
state,wk ahead inc case,2020-10-18,2427.053550239158
state,wk ahead inc case,2020-10-25,3276.3264953125
state,wk ahead inc case,2020-11-01,3741.3736086734693
state,wk ahead inc case,2020-11-09,3376.0547432716835
state,wk ahead inc case,2020-11-16,2750.626072911352
state,wk ahead inc case,2020-11-23,2786.004163632015
state,wk ahead inc case,2020-11-30,3150.6957825414543
state,wk ahead inc case,2020-12-07,2426.512831265944
state,wk ahead inc case,2020-12-14,1908.9531018654336
state,wk ahead inc case,2020-12-21,1468.1532713966837
state,wk ahead inc case,2020-12-28,1666.29459453125
state,wk ahead inc case,2021-01-04,1532.77425653699
state,wk ahead inc case,2021-01-11,2645.4881433035716
state,wk ahead inc case,2021-01-18,2900.9566125212586
state,wk ahead inc case,2021-01-25,1361.805665242347
state,wk ahead inc case,2021-02-01,1007.1183381377551
state,wk ahead inc death,2020-07-05,28.32861874708851
state,wk ahead inc death,2020-07-12,22.557779627329193
state,wk ahead inc death,2020-07-19,19.21176266304348
state,wk ahead inc death,2020-07-26,13.493550695846274
state,wk ahead inc death,2020-08-03,11.465195988936335
state,wk ahead inc death,2020-08-09,9.374710758928572
state,wk ahead inc death,2020-08-16,11.201138346273293
state,wk ahead inc death,2020-08-23,10.964401708074535
state,wk ahead inc death,2020-08-30,10.401083146350931
state,wk ahead inc death,2020-09-06,9.895488148291927
state,wk ahead inc death,2020-09-13,9.174540135869565
state,wk ahead inc death,2020-09-20,10.020659210015529
state,wk ahead inc death,2020-09-27,10.368595078610248
state,wk ahead inc death,2020-10-04,10.158981520768634
state,wk ahead inc death,2020-10-11,12.678573916925465
state,wk ahead inc death,2020-10-18,16.989514271156832
state,wk ahead inc death,2020-10-25,18.737464582686336
state,wk ahead inc death,2020-11-01,23.59341042798913
state,wk ahead inc death,2020-11-09,29.979119026591615
state,wk ahead inc death,2020-11-16,39.30395980007764
state,wk ahead inc death,2020-11-23,35.88632285034938
state,wk ahead inc death,2020-11-30,43.57876095690994
state,wk ahead inc death,2020-12-07,29.101728660714286
state,wk ahead inc death,2020-12-14,33.2067508123059
state,wk ahead inc death,2020-12-21,33.42790236898292
state,wk ahead inc death,2020-12-28,43.46874200310559
state,wk ahead inc death,2021-01-04,43.21818131405279
state,wk ahead inc death,2021-01-11,34.5296869060559
state,wk ahead inc death,2021-01-18,28.67732066252588
state,wk ahead inc death,2021-01-25,27.656545217391304
state,wk ahead inc death,2021-02-01,33.178472465062114
